barcode,category,categoryCode,name,topBrand,brandCode,id_oid,cpg_ref,cpg_oid
511111302629,null,null,Sundrop,null,null,55b630d9e4b0d8e685c1421f,Cogs,55b62995e4b0d8e685c14213
511111704935,Beverages,null,Kevita Sparkling Drinks,null,KEVITA,5d602d9d6d5f3b23d1bc7907,Cogs,5332f5fbe4b03c9a25efd0ba
511111902188,Frozen,null,Delimex,0,DELIMEX,57ebbf75e4b0ac389136a32f,Cogs,559c2234e4b06aca36af13c6
511111004844,Personal Care,null,THE RIGHT TO SHOWER,null,THE RIGHT TO SHOWER,5d2f68d96d5f3b107e208da4,Cogs,5332f5f6e4b03c9a25efd0b4
511111100904,Personal Care,null,CARESS,0,CARESS,592486bde410d61fcea3d124,Cogs,5332f5f6e4b03c9a25efd0b4
511111115083,Baking,BAKING,test brand @1595340086044,null,TEST BRANDCODE @1595340086044,5f16f536be37ce2b30061e27,Cogs,5f16f535be37ce2b30061e24
511111603870,null,null,Blue Bunny,null,null,5332f6ede4b03c9a25efd0e5,Cpgs,5332f6ede4b03c9a25efd0e6
511111103141,null,null,Krave,null,null,5332fa05e4b03c9a25efd1d6,Cpgs,5332f5f2e4b03c9a25efd0aa
511111315513,Baking,BAKING,test brand @1597861700968,null,TEST BRANDCODE @1597861700968,5f3d6f44be37ce4ddbb1bb3e,Cogs,5f3d6f44be37ce4ddbb1bb3a
511111106876,Grocery,null,DASH-2249 Brand1,1,TEST BRAND CODE,5c76d3cd95144c5375687b4f,Cogs,5c76d20595144c5375687b4e
511111115649,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598026275245,null,TEST BRANDCODE @1598026275245,5f3ff223be37ce1c81aa1e11,Cogs,5332fa12e4b03c9a25efd1e7
511111204206,Canned Goods & Soups,null,Swanson,0,SWANSON,5a8c36dbe4b0ccf165fac9e9,Cogs,5a734034e4b0d58f376be874
511111102618,null,null,A&W Rootbeer,null,null,55b630e1e4b0d8e685c14220,Cogs,55b62995e4b0d8e685c14213
511111415626,Baking,BAKING,test brand @1598026274668,null,TEST BRANDCODE @1598026274668,5f3ff222be37ce1c81aa1e0f,Cogs,5f3ff222be37ce1c81aa1e0c
511111306887,Frozen,null,DASH-2249 Brand2,0,DASH-2249 1,5c76db7295144c5375687b50,Cogs,5c76d20595144c5375687b4e
511111805854,Health & Wellness,null,ONE A DAY® WOMENS,0,511111805854,5da609991dda2c3e1416ae90,Cogs,53e10d6368abd3c7065097cc
511111104537,Snacks,null,Kettle Brand,0,KETTLE BRAND,5afda575e4b0c11cfecd49f9,Cogs,5a734034e4b0d58f376be874
511111404392,Canned Goods & Soups,null,Campbell's Soup at Hand,0,CAMPBELLS SOUP AT HAND ,5ab154dde4b0915382df761f,Cogs,5a734034e4b0d58f376be874
511111615583,Baking,BAKING,test brand @1597936021514,null,null,5f3e9195be37ce5a0e01b960,Cogs,5f3e9195be37ce5a0e01b95f
511111117841,Grocery,GROCERY,Rainbo,0,RAINBO,5fb82faebe37ce522e165ce9,Cogs,5fb6b608be37ce522e165cb9
511111602279,Beer Wine Spirits,null,Crispin Cider Company,0,CRISPIN,57e58157e4b0ac389136a30a,Cogs,5332f709e4b03c9a25efd0f1
511111318194,Baking,BAKING,test brand @1607707830137,0,TEST BRANDCODE @1607707830137,5fd3acb6be37ce0d9386bb41,Cogs,5fd3acb5be37ce0d9386bb3e
511111114413,Health & Wellness,HEALTHY_AND_WELLNESS,Claritin®,0,CLARITIN®,5e90a545ee7f2d70340f40d7,Cogs,5d9b4f591dda2c6225a284aa
511111706045,Breakfast & Cereal,null,Cookie Crisp™,null,COOKIE CRISP,5daf5e94a60b87376833e362,Cogs,5332f5f3e4b03c9a25efd0ae
511111717317,Baking,BAKING,test brand @1605535020441,0,TEST BRANDCODE @1605535020442,5fb2852cbe37ce522e165caf,Cogs,5fb2852cbe37ce522e165cae
511111903789,Snacks,null,Keebler,null,null,5332f743e4b03c9a25efd109,Cpgs,5332f5f2e4b03c9a25efd0aa
511111417262,Baking,BAKING,test brand @1604946244750,0,TEST BRANDCODE @1604946244750,5fa98944be37ce239d107100,Cogs,5fa98944be37ce239d1070ff
511111004561,Snacks,null,SNYDERS OF HANOVER,0,SNYDERS OF HANOVER,5afda65de4b0c11cfecd49fb,Cogs,5a734034e4b0d58f376be874
511111702894,null,null,Powerade,null,null,5332fa7ee4b03c9a25efd230,Cpgs,5332f5ebe4b03c9a25efd0a8
511111002154,Condiments & Sauces,null,Good Seasons,0,GOOD SEASONS,57ebbfafe4b0ac389136a332,Cogs,559c2234e4b06aca36af13c6
